"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",18.67,23.66,28.7,154.89
"Feb",18.53,23.76,29.04,139.74
"Mar",18.58,23.75,28.96,165.66
"Apr",18.2,23.08,28.02,141.16
"May",17.09,22.32,27.6,56.48
"Jun",15.14,21.02,26.96,11.1
"Jul",14.32,20.52,26.77,5.05
"Aug",15.28,21.58,27.93,7.36
"Sep",16.4,22.78,29.22,15.26
"Oct",17.77,23.96,30.21,32.63
"Nov",18.47,24.15,29.88,85.17
"Dec",18.71,23.78,28.9,144.19
